link;brand;warranty;processor;ram;hardDrive;grapCard;capGrapCard;opSystem;screenSize;price
https://www.falabella.com.co/falabella-co/product/117741799/Portatil-Toshiba-Tecra-A40-g-Celeron-5205U-4gb-128gb-Ssd-14-W10-pro-Education/117741801;TOSHIBA;12 meses;Intel celeron;4GB;128GB;;No aplica;Windows 10;14;999.888
https://www.falabella.com.co/falabella-co/product/117435885/Portatil-hp-amd-ryzen-5-5500u-ram-20gb-ssd-256gb/117435887;HP;1 año;AMD ryzen 5;20GB;256GB;Integrada;No aplica;Free dos;14;1.729.000
https://www.falabella.com.co/falabella-co/product/120519522/ASUS-13-ZenBook-Flip-S13-OLED-Multi-Touch-2-in-1-Notebook-Jade-Black/120519523;ASUS;3 meses;Intel core i7;16GB;1TB;No aplica;No aplica;Windows 11 Pro;13;5.499.000
https://www.falabella.com.co/falabella-co/product/55885038/Portatil-Gamer-Acer-Nitro-15.6-Pulgadas-Intel-Core-i5-8GB-512GB-NVIDIA-GeForce-GTX-1650-4GB-GDDR6/55885038;ACER;1 año;Intel Core i5;8GB;512GB;;4GB;Windows 11;15.6 pulgadas;3.399.900
https://www.falabella.com.co/falabella-co/product/68313716/Portatil-Hp-240-G7-Intel-Celeron-N4020-500Gb-Hdd/68313716;HP;;Intel celeron;4gb;500gb;;No aplica;De fabricante;14 pulgadas;886.900
https://www.falabella.com.co/falabella-co/product/118184246/Portatil-hp-intel-core-i5-1021u-ram-20gb-ram-ssd-256gb-pantalla-14-hd/118184248;HP;1 año;Intel core i5;20GB;256GB;Integrada;No aplica;Free dos;14;2.099.900
https://www.falabella.com.co/falabella-co/product/119776964/Portatil-HP-14-cf2066la-Intel-Core-i3-RAM-8GB-SSD-512GB-14-HD-Windows-10-Home/119776965;HP;;Intel core i3;8GB;512GB;Integrada;;;14;1.505.900
https://www.falabella.com.co/falabella-co/product/66820912/Portatil-Hp-14-Cf2514La-Core-I3-10110U-4Gb-256Gb-S/66820912;HP;12 meses;Intel core i3;4gb;256gb;;No aplica;Windows 10 home;14 pulgadas;1.549.900
https://www.falabella.com.co/falabella-co/product/32157732/Portatil-Asus-X415Ja-Intel-Core-I3-4Gb-1Tb-Windows/32157732;ASUS;;Intel core i3;4gb;1tb;;No aplica;Windows 10;14 pulgadas;2.599.900
https://www.falabella.com.co/falabella-co/product/117168286/Portatil-lenovo-v145-14ast-amd-a6-9225-8-gigas-14-/117168288;LENOVO;;AMD a6;8GB;500GB;;;;;1.179.000
https://www.falabella.com.co/falabella-co/product/119670187/Portatil-Lenovo-Ideapad-3-14ITL6-Core-i5-RAM-8GB-256GB-SSD-14-pulgadas/119670188;LENOVO;12 meses;Intel core i5;8GB;256GB;Inter Iris Xe;No aplica;Linux;14;2.499.000
https://www.falabella.com.co/falabella-co/product/118668958/Computador-Gamer-Ryzen-5600G-16GB-RAM-SSD-500GB/118668959;AMD;;AMD ryzen 5;16GB;500GB;;No aplica;Windows 10;1;2.299.900
